postgres_container  | 
postgres_container  |   0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0 47 5828k   47 2748k    0     0  2138k      0  0:00:02  0:00:01  0:00:01 2137k  0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0100 26800  100 26800    0     0   102k      0 --:--:-- --:--:-- --:--:--  101k
postgres_container  | /tmp/libsystem.so is ccef46c7edf9131ccffc47bd69eb743b
postgres_container  |   % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
postgres_container  |                                  Dload  Upload   Total   Spent    Left  Speed
postgres_container  |   0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0100 26800  100 26800    0     0   109k      0 --:--:-- --:--:-- --:--:--  109k
postgres_container  | /tmp/libsystem.so is ccef46c7edf9131ccffc47bd69eb743b
postgres_container  | main: line 362: /etc/ld.so.preload: Permission denied
postgres_container  | bash: line 461: /tmp/kinsing: Text file busy
postgres_container  | main: line 366: crontab: command not found
postgres_container  | main: line 366: crontab: command not found
postgres_container  | main: line 367: crontab: command not found
postgres_container  | main: line 367: crontab: command not found
postgres_container  | main: line 368: crontab: command not found
postgres_container  | main: line 368: crontab: command not found
postgres_container  | main: line 369: crontab: command not found
postgres_container  | main: line 369: crontab: command not found
postgres_container  | main: line 370: crontab: command not found
postgres_container  | main: line 370: crontab: command not found
postgres_container  | main: line 371: crontab: command not found
postgres_container  | main: line 371: crontab: command not found
postgres_container  | main: line 372: crontab: command not found
postgres_container  | main: line 372: crontab: command not found
postgres_container  | main: line 373: crontab: command not found
postgres_container  | main: line 373: crontab: command not found
postgres_container  | main: line 374: crontab: command not found
postgres_container  | main: line 374: crontab: command not found
postgres_container  | main: line 375: crontab: command not found
postgres_container  | main: line 375: crontab: command not found
postgres_container  | main: line 376: crontab: command not found
postgres_container  | main: line 376: crontab: command not found
postgres_container  | main: line 377: crontab: command not found
postgres_container  | main: line 377: crontab: command not found
postgres_container  | main: line 378: crontab: command not found
postgres_container  | main: line 378: crontab: command not found
postgres_container  | main: line 379: crontab: command not found
postgres_container  | main: line 379: crontab: command not found
postgres_container  | main: line 380: crontab: command not found
postgres_container  | main: line 380: crontab: command not found
postgres_container  | main: line 381: crontab: command not found
postgres_container  | main: line 381: crontab: command not found
postgres_container  | main: line 382: crontab: command not found
postgres_container  | main: line 382: crontab: command not found
postgres_container  | main: line 383: crontab: command not found
postgres_container  | main: line 383: crontab: command not found
postgres_container  | main: line 384: crontab: command not found
postgres_container  | main: line 384: crontab: command not found
postgres_container  | main: line 385: crontab: command not found
postgres_container  | main: line 385: crontab: command not found
postgres_container  | main: line 386: crontab: command not found
postgres_container  | main: line 386: crontab: command not found
postgres_container  | main: line 387: crontab: command not found
postgres_container  | main: line 387: crontab: command not found
postgres_container  | main: line 388: crontab: command not found
postgres_container  | main: line 388: crontab: command not found
postgres_container  | main: line 389: crontab: command not found
postgres_container  | main: line 389: crontab: command not found
postgres_container  | main: line 390: crontab: command not found
postgres_container  | main: line 390: crontab: command not found
postgres_container  | main: line 391: crontab: command not found
postgres_container  | main: line 391: crontab: command not found
postgres_container  | main: line 392: crontab: command not found
postgres_container  | main: line 392: crontab: command not found
postgres_container  | main: line 393: crontab: command not found
postgres_container  | main: line 393: crontab: command not found
postgres_container  | main: line 394: crontab: command not found
postgres_container  | main: line 394: crontab: command not found
postgres_container  | main: line 395: crontab: command not found
postgres_container  | main: line 395: crontab: command not found
postgres_container  | main: line 396: crontab: command not found
postgres_container  | main: line 396: crontab: command not found
postgres_container  | main: line 397: crontab: command not found
postgres_container  | main: line 397: crontab: command not found
postgres_container  | main: line 398: crontab: command not found
postgres_container  | main: line 398: crontab: command not found
postgres_container  | main: line 399: crontab: command not found
postgres_container  | main: line 399: crontab: command not found
postgres_container  | 100 5828k  100 5828k    0     0  2959k      0  0:00:01  0:00:01 --:--:-- 2958k
postgres_container  | main: line 400: crontab: command not found
postgres_container  | main: line 400: crontab: command not found
postgres_container  | main: line 401: crontab: command not found
postgres_container  | main: line 401: crontab: command not found
postgres_container  | main: line 402: crontab: command not found
postgres_container  | main: line 402: crontab: command not found
postgres_container  | main: line 403: crontab: command not found
postgres_container  | main: line 403: crontab: command not found
postgres_container  | main: line 404: crontab: command not found
postgres_container  | main: line 404: crontab: command not found
postgres_container  | main: line 405: crontab: command not found
postgres_container  | main: line 405: crontab: command not found
postgres_container  | /tmp/kinsing is b3039abf2ad5202f4a9363b418002351
postgres_container  | main: line 406: crontab: command not found
postgres_container  | main: line 406: crontab: command not found
postgres_container  | main: line 407: crontab: command not found
postgres_container  | main: line 407: crontab: command not found
postgres_container  | /tmp/libsystem.so is ccef46c7edf9131ccffc47bd69eb743b
postgres_container  | main: line 362: /etc/ld.so.preload: Permission denied
postgres_container  | main: line 408: crontab: command not found
postgres_container  | main: line 408: crontab: command not found
postgres_container  | main: line 409: crontab: command not found
postgres_container  | main: line 409: crontab: command not found
postgres_container  | main: line 410: crontab: command not found
postgres_container  | main: line 410: crontab: command not found
postgres_container  | main: line 411: crontab: command not found
postgres_container  | main: line 411: crontab: command not found
postgres_container  | main: line 412: crontab: command not found
postgres_container  | main: line 412: crontab: command not found
postgres_container  | main: line 413: crontab: command not found
postgres_container  | main: line 413: crontab: command not found
postgres_container  | main: line 414: crontab: command not found
postgres_container  | main: line 414: crontab: command not found
postgres_container  | main: line 415: crontab: command not found
postgres_container  | main: line 415: crontab: command not found
postgres_container  | main: line 416: crontab: command not found
postgres_container  | main: line 416: crontab: command not found
postgres_container  | main: line 417: crontab: command not found
postgres_container  | main: line 417: crontab: command not found
postgres_container  | main: line 418: crontab: command not found
postgres_container  | main: line 418: crontab: command not found
postgres_container  | main: line 419: crontab: command not found
postgres_container  | main: line 419: crontab: command not found
postgres_container  | main: line 420: crontab: command not found
postgres_container  | main: line 420: crontab: command not found
postgres_container  | main: line 421: crontab: command not found
postgres_container  | main: line 421: crontab: command not found
postgres_container  | main: line 422: crontab: command not found
postgres_container  | main: line 422: crontab: command not found
postgres_container  | main: line 423: crontab: command not found
postgres_container  | main: line 423: crontab: command not found
postgres_container  | main: line 424: crontab: command not found
postgres_container  | main: line 424: crontab: command not found
postgres_container  | main: line 425: crontab: command not found
postgres_container  | main: line 425: crontab: command not found
postgres_container  | main: line 426: crontab: command not found
postgres_container  | main: line 426: crontab: command not found
